Data Size,Structure,Insertion Time (ms),Search Time (ms),RBAR Calculation (ms),Top-5 (ms),Top-10 (ms),Top-25 (ms),Top-50 (ms),Tree Height,Is Balanced
1000,Linear List,0.009,0.010,0.036,0.062,0.031,0.029,0.029,N/A,N/A
1000,AVL Tree,0.499,0.000,0.014,0.025,0.016,0.072,0.018,4,true
1000,RBT,2.246,0.002,0.006,0.005,0.002,0.003,0.003,25,false
5000,Linear List,0.008,0.035,0.057,0.047,0.045,0.047,0.045,N/A,N/A
5000,AVL Tree,0.395,0.000,0.012,0.022,0.020,0.019,0.020,6,true
5000,RBT,10.842,0.002,0.004,0.001,0.001,0.001,0.001,29,false
10000,Linear List,0.013,0.042,0.072,0.084,0.081,0.085,0.085,N/A,N/A
10000,AVL Tree,1.290,0.000,0.015,0.037,0.038,0.035,0.032,8,true
10000,RBT,17.103,0.001,0.004,0.001,0.001,0.001,0.001,36,false
25000,Linear List,0.016,0.139,0.157,0.170,0.162,0.158,0.166,N/A,N/A
25000,AVL Tree,2.592,0.000,0.018,0.021,0.018,0.022,0.018,9,true
25000,RBT,43.195,0.003,0.004,0.002,0.002,0.003,0.003,22,false
41457,Linear List,0.018,0.335,0.359,0.404,0.374,0.401,0.424,N/A,N/A
41457,AVL Tree,5.104,0.000,0.020,0.033,0.030,0.028,0.027,9,true
41457,RBT,69.602,0.003,0.007,0.003,0.002,0.003,0.003,161,false
